epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,268.058,1.6527,1.73697,1.72423,0.53368,0.35507,0.40929,0.20594,2.17422,2.52735,2.33185,0.000930618,0.000930618,0.000930618
43,274.125,1.62359,1.76775,1.73596,0.66052,0.39368,0.42849,0.19107,2.35879,2.43097,2.48991,0.000926218,0.000926218,0.000926218
44,279.722,1.61035,1.68,1.72588,0.45121,0.42077,0.34672,0.13467,2.28236,2.62223,2.39243,0.000921819,0.000921819,0.000921819
45,285.983,1.63809,1.69984,1.67632,0.67443,0.38722,0.46354,0.16695,2.46456,2.43694,2.56721,0.000917419,0.000917419,0.000917419
46,291.603,1.63429,1.7725,1.72743,0.71048,0.38354,0.4542,0.24152,2.20496,2.36718,2.34791,0.00091302,0.00091302,0.00091302
47,297.423,1.5825,1.62491,1.6954,0.66939,0.37898,0.40183,0.22155,2.34551,2.46808,2.49619,0.00090862,0.00090862,0.00090862
48,303.156,1.63129,1.62251,1.68907,0.73326,0.45236,0.49556,0.23546,2.22823,2.20868,2.35541,0.000904221,0.000904221,0.000904221
49,308.642,1.67443,1.65769,1.69365,0.67236,0.30428,0.38608,0.17503,2.32303,2.37002,2.41853,0.000899821,0.000899821,0.000899821
50,314.989,1.61253,1.61237,1.67085,0.32679,0.36331,0.34875,0.16772,2.35626,2.6669,2.40193,0.000895422,0.000895422,0.000895422
51,320.465,1.55432,1.56371,1.64261,0.46481,0.37542,0.36868,0.17454,2.40642,2.39559,2.53095,0.000891022,0.000891022,0.000891022
52,326.52,1.55952,1.5463,1.64976,0.45249,0.3794,0.39161,0.17334,2.43967,2.45227,2.53506,0.000886622,0.000886622,0.000886622
53,332.193,1.62165,1.58708,1.72515,0.664,0.3538,0.40781,0.17377,2.46972,2.25323,2.57038,0.000882223,0.000882223,0.000882223
54,338.241,1.63211,1.71536,1.72771,0.40596,0.3839,0.39926,0.20478,2.37502,2.20679,2.44634,0.000877823,0.000877823,0.000877823
55,343.929,1.61917,1.51356,1.70782,0.42912,0.36849,0.41699,0.20186,2.3313,2.26074,2.4669,0.000873424,0.000873424,0.000873424
56,349.944,1.54893,1.447,1.63727,0.6293,0.47263,0.48851,0.22899,2.3717,2.17258,2.50814,0.000869024,0.000869024,0.000869024
57,355.871,1.57096,1.58656,1.66415,0.44511,0.53345,0.4649,0.20916,2.36102,2.19907,2.41591,0.000864625,0.000864625,0.000864625
58,361.569,1.47915,1.39847,1.59853,0.61374,0.50459,0.48812,0.22918,2.4363,2.20393,2.50274,0.000860225,0.000860225,0.000860225
59,367.344,1.55146,1.50987,1.65099,0.88257,0.31941,0.42394,0.19809,2.29225,2.31622,2.32601,0.000855826,0.000855826,0.000855826
60,372.751,1.58095,1.59391,1.67293,0.55234,0.414,0.43954,0.21854,2.30165,2.24505,2.39553,0.000851426,0.000851426,0.000851426
61,378.73,1.53773,1.56804,1.69178,0.74978,0.43146,0.42506,0.21667,2.26686,2.13912,2.37613,0.000847026,0.000847026,0.000847026
62,384.439,1.50732,1.41455,1.61155,0.75802,0.29634,0.41515,0.21937,2.38305,2.40324,2.47353,0.000842627,0.000842627,0.000842627
63,390.7,1.44021,1.4945,1.57571,0.7126,0.41972,0.49613,0.20521,2.35104,2.28756,2.40826,0.000838227,0.000838227,0.000838227
64,396.246,1.47617,1.42507,1.59293,0.74758,0.43346,0.47944,0.22678,2.33524,2.31119,2.46202,0.000833828,0.000833828,0.000833828
65,402.17,1.51114,1.33094,1.57704,0.70047,0.37905,0.43175,0.19281,2.42055,2.69758,2.57415,0.000829428,0.000829428,0.000829428
66,408.163,1.45899,1.32882,1.57397,0.53588,0.43665,0.40851,0.17913,2.46876,2.5946,2.60131,0.000825029,0.000825029,0.000825029
67,414.138,1.52565,1.42499,1.59176,0.73796,0.37554,0.43451,0.19884,2.34627,2.20679,2.39745,0.000820629,0.000820629,0.000820629
68,419.79,1.50321,1.48918,1.56755,0.64129,0.45797,0.4794,0.21115,2.39972,2.26378,2.41429,0.000816229,0.000816229,0.000816229
69,425.532,1.39758,1.3208,1.57328,0.67964,0.39259,0.44029,0.23549,2.40588,2.29753,2.43461,0.00081183,0.00081183,0.00081183
70,431.617,1.47018,1.26727,1.55727,0.80012,0.37442,0.42253,0.22219,2.40912,2.17335,2.47723,0.00080743,0.00080743,0.00080743
71,436.792,1.43241,1.32951,1.55378,0.46803,0.40067,0.44597,0.23293,2.40653,2.26095,2.5691,0.000803031,0.000803031,0.000803031
72,442.99,1.38405,1.30277,1.53439,0.54367,0.46507,0.39949,0.19922,2.37129,2.63986,2.54753,0.000798631,0.000798631,0.000798631
73,448.551,1.49214,1.33624,1.5787,0.52258,0.45259,0.44445,0.23728,2.50843,2.35582,2.66373,0.000794232,0.000794232,0.000794232
74,454.804,1.45163,1.2969,1.57121,0.41783,0.49214,0.43987,0.24602,2.45478,2.27615,2.56587,0.000789832,0.000789832,0.000789832
75,460.419,1.43552,1.36164,1.54397,0.37558,0.48557,0.39297,0.21394,2.34025,2.52485,2.48524,0.000785433,0.000785433,0.000785433
76,466.57,1.33173,1.2558,1.48239,0.64106,0.35289,0.36857,0.21341,2.41118,2.43763,2.59081,0.000781033,0.000781033,0.000781033
77,472.166,1.43773,1.28006,1.54535,0.43976,0.40654,0.35629,0.17711,2.4276,2.28394,2.4885,0.000776633,0.000776633,0.000776633
78,478.15,1.35341,1.23495,1.49311,0.39114,0.43886,0.39947,0.2048,2.54294,2.39724,2.68628,0.000772234,0.000772234,0.000772234
79,484.018,1.40804,1.26563,1.55101,0.40543,0.44398,0.39716,0.1963,2.42625,2.45679,2.60414,0.000767834,0.000767834,0.000767834
80,489.661,1.30829,1.2045,1.48981,0.50295,0.42267,0.44341,0.21786,2.40614,2.25851,2.50128,0.000763435,0.000763435,0.000763435
81,495.438,1.30869,1.16096,1.45762,0.82798,0.39732,0.5181,0.23848,2.38923,2.17364,2.51595,0.000759035,0.000759035,0.000759035
82,500.957,1.34495,1.20313,1.50921,0.83959,0.42189,0.50899,0.26022,2.46151,2.28677,2.54747,0.000754636,0.000754636,0.000754636
83,507.007,1.32782,1.09394,1.47487,0.70137,0.33055,0.4231,0.20627,2.38158,2.24245,2.49941,0.000750236,0.000750236,0.000750236
84,512.352,1.30934,1.09687,1.42819,0.45569,0.46235,0.4453,0.21252,2.40035,2.40874,2.5309,0.000745837,0.000745837,0.000745837
85,518.42,1.26652,1.10274,1.44169,0.40642,0.41773,0.31745,0.15941,2.44952,2.77216,2.68808,0.000741437,0.000741437,0.000741437
86,523.822,1.38771,1.2011,1.49846,0.60034,0.46482,0.4316,0.21214,2.28323,2.46771,2.58212,0.000737037,0.000737037,0.000737037
87,529.922,1.35873,1.16818,1.48901,0.64894,0.44911,0.42753,0.22013,2.18681,2.66698,2.4151,0.000732638,0.000732638,0.000732638
88,535.521,1.36047,1.20289,1.4771,0.628,0.46512,0.50681,0.23234,2.28609,2.32446,2.51563,0.000728238,0.000728238,0.000728238
89,541.201,1.24366,1.04806,1.42992,0.53851,0.4723,0.46078,0.24416,2.3613,2.42,2.57123,0.000723839,0.000723839,0.000723839
90,547.16,1.2987,1.06249,1.45895,0.55242,0.41081,0.44365,0.21857,2.32688,2.52603,2.48489,0.000719439,0.000719439,0.000719439
91,552.607,1.32443,1.10624,1.45616,0.61037,0.41531,0.44673,0.22085,2.43124,2.37069,2.53248,0.00071504,0.00071504,0.00071504
92,558.58,1.32217,1.10127,1.43506,0.63073,0.5196,0.52357,0.25754,2.26999,2.21514,2.46667,0.00071064,0.00071064,0.00071064
93,564.159,1.25872,1.13844,1.40567,0.8281,0.40963,0.52368,0.24265,2.30406,2.07234,2.44592,0.00070624,0.00070624,0.00070624
