epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,447.475,1.44067,1.56549,1.58946,0.62987,0.52935,0.52179,0.2582,1.99084,1.9385,2.07709,0.000307,0.000307,0.000307
44,457.938,1.43034,1.45744,1.55812,0.46156,0.57684,0.49367,0.22808,2.11368,1.95367,2.20546,0.0002905,0.0002905,0.0002905
45,468.103,1.38374,1.38354,1.51468,0.63526,0.54302,0.48279,0.24398,2.1848,1.80611,2.29917,0.000274,0.000274,0.000274
46,477.864,1.44137,1.44054,1.53884,0.73981,0.50641,0.5309,0.2757,2.12858,1.7827,2.22953,0.0002575,0.0002575,0.0002575
47,487.849,1.37927,1.36923,1.52173,0.53352,0.59843,0.55128,0.30227,1.94217,1.88477,2.08506,0.000241,0.000241,0.000241
48,498.326,1.37198,1.34466,1.52481,0.74279,0.51819,0.51914,0.2814,2.03513,1.98794,2.18553,0.0002245,0.0002245,0.0002245
49,508.451,1.3509,1.32275,1.48265,0.70509,0.51662,0.52137,0.27628,2.03492,1.97956,2.15846,0.000208,0.000208,0.000208
50,517.903,1.34697,1.3061,1.51076,0.5638,0.52689,0.55335,0.25878,2.09402,2.09806,2.23735,0.0001915,0.0001915,0.0001915
51,530.845,1.47109,1.39598,1.65068,0.53981,0.53891,0.54614,0.26725,2.08737,2.00153,2.29718,0.000175,0.000175,0.000175
52,540.518,1.37608,1.33925,1.59193,0.66779,0.55554,0.53181,0.27837,2.18398,1.94937,2.36209,0.0001585,0.0001585,0.0001585
53,550.368,1.33532,1.24247,1.57233,0.71503,0.50395,0.52499,0.26598,2.18666,2.00319,2.37682,0.000142,0.000142,0.000142
54,559.307,1.29214,1.19053,1.55099,0.72465,0.49665,0.5264,0.26388,2.1463,2.05758,2.35557,0.0001255,0.0001255,0.0001255
55,568.664,1.27853,1.09597,1.52186,0.70486,0.46612,0.50229,0.23892,2.26347,2.057,2.45594,0.000109,0.000109,0.000109
56,578.26,1.2569,1.09083,1.50693,0.49836,0.54851,0.51653,0.23285,2.29451,2.04526,2.48223,9.25e-05,9.25e-05,9.25e-05
57,587.069,1.22719,1.12558,1.49245,0.47939,0.54868,0.49919,0.24018,2.25446,2.0455,2.44655,7.6e-05,7.6e-05,7.6e-05
58,596.237,1.24496,1.07865,1.48156,0.74163,0.51205,0.51179,0.25057,2.27396,2.03738,2.46199,5.95e-05,5.95e-05,5.95e-05
59,605.83,1.24856,1.06163,1.47097,0.72343,0.52788,0.53085,0.25779,2.28018,1.98821,2.48908,4.3e-05,4.3e-05,4.3e-05
60,615.12,1.23682,1.09072,1.49904,0.71804,0.51721,0.5461,0.26647,2.30105,1.95708,2.51066,2.65e-05,2.65e-05,2.65e-05
