epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,405.211,1.66148,1.7403,1.70277,0.47329,0.41478,0.34387,0.16545,2.53929,2.91391,2.61401,0.000746313,0.000746313,0.000746313
43,413.895,1.56227,1.71704,1.67024,0.35719,0.4437,0.39441,0.19288,2.46503,2.94044,2.60127,0.000740125,0.000740125,0.000740125
44,422.989,1.61404,1.72899,1.68949,0.35166,0.40922,0.35544,0.20361,2.44134,2.7383,2.53269,0.000733937,0.000733937,0.000733937
45,431.909,1.57574,1.64544,1.64391,0.71987,0.37782,0.40121,0.20747,2.32122,2.74071,2.41425,0.00072775,0.00072775,0.00072775
46,441.303,1.60615,1.71072,1.64029,0.60171,0.37038,0.35924,0.19943,2.44024,2.83299,2.55931,0.000721562,0.000721562,0.000721562
47,450.328,1.56581,1.66152,1.63604,0.60325,0.35427,0.36945,0.19065,2.49729,2.94808,2.56176,0.000715375,0.000715375,0.000715375
48,458.874,1.52302,1.61818,1.61852,0.58962,0.41075,0.36853,0.20616,2.32029,2.71678,2.45199,0.000709188,0.000709188,0.000709188
49,468.352,1.58783,1.64474,1.64473,0.63634,0.37871,0.38753,0.23692,2.54433,2.9152,2.72745,0.000703,0.000703,0.000703
50,477.085,1.53354,1.57545,1.60011,0.54298,0.40496,0.34041,0.19154,2.40768,2.91309,2.48059,0.000696812,0.000696812,0.000696812
51,485.84,1.53133,1.59252,1.60726,0.3865,0.4063,0.36852,0.23006,2.52102,2.90638,2.6562,0.000690625,0.000690625,0.000690625
52,495.304,1.47384,1.44815,1.56247,0.59533,0.36215,0.36386,0.19666,2.3499,3.10595,2.47663,0.000684438,0.000684438,0.000684438
53,503.883,1.51142,1.54428,1.60435,0.50382,0.41554,0.37211,0.2131,2.37958,3.25937,2.49921,0.00067825,0.00067825,0.00067825
54,512.447,1.49386,1.53341,1.57053,0.37725,0.37797,0.33873,0.20453,2.34664,2.84508,2.42983,0.000672063,0.000672063,0.000672063
55,521.585,1.49442,1.50186,1.57851,0.53688,0.48003,0.40463,0.23624,2.31852,2.66941,2.36313,0.000665875,0.000665875,0.000665875
56,530.649,1.47821,1.57072,1.574,0.66373,0.44782,0.43148,0.24369,2.45624,2.88743,2.54322,0.000659688,0.000659688,0.000659688
57,539.658,1.47785,1.56451,1.5594,0.58351,0.41875,0.36519,0.17026,2.54581,2.70396,2.69527,0.0006535,0.0006535,0.0006535
58,548.792,1.4467,1.44428,1.552,0.60222,0.45791,0.41249,0.21366,2.57735,2.78458,2.67999,0.000647313,0.000647313,0.000647313
59,558.082,1.46099,1.49986,1.53959,0.68247,0.41741,0.4234,0.22346,2.4757,2.64886,2.56066,0.000641125,0.000641125,0.000641125
60,566.618,1.43099,1.38988,1.52579,0.4948,0.40688,0.41353,0.21231,2.40141,2.59397,2.59855,0.000634937,0.000634937,0.000634937
61,575.36,1.37622,1.33766,1.49957,0.39732,0.45746,0.40603,0.20547,2.41064,2.81097,2.65362,0.00062875,0.00062875,0.00062875
62,584.586,1.41821,1.37941,1.51575,0.64407,0.36215,0.37091,0.20968,2.44222,3.18183,2.58867,0.000622563,0.000622563,0.000622563
63,593.225,1.4175,1.35725,1.52595,0.62146,0.39377,0.38904,0.20977,2.37563,2.96323,2.48354,0.000616375,0.000616375,0.000616375
64,603.117,1.363,1.31039,1.47892,0.58948,0.43537,0.397,0.21987,2.41179,2.85799,2.52419,0.000610188,0.000610188,0.000610188
65,612.134,1.4297,1.34499,1.52627,0.34838,0.42609,0.38081,0.19848,2.5778,2.74122,2.734,0.000604,0.000604,0.000604
66,621.161,1.43296,1.4281,1.55655,0.70704,0.34529,0.35216,0.19993,2.40153,2.85745,2.56257,0.000597812,0.000597812,0.000597812
67,629.431,1.38218,1.32436,1.51913,0.57685,0.41875,0.38762,0.22035,2.44545,2.93484,2.50182,0.000591625,0.000591625,0.000591625
68,638.534,1.40837,1.32681,1.4929,0.63643,0.40138,0.40128,0.20548,2.44203,2.77472,2.5254,0.000585438,0.000585438,0.000585438
69,647.787,1.35352,1.34056,1.479,0.57833,0.45012,0.41143,0.21794,2.48734,2.72309,2.58607,0.00057925,0.00057925,0.00057925
70,656.094,1.37178,1.34149,1.48016,0.57484,0.38239,0.37918,0.19771,2.59047,2.68232,2.62581,0.000573063,0.000573063,0.000573063
71,665.155,1.3524,1.28438,1.45358,0.42867,0.45678,0.41034,0.22408,2.56452,2.75081,2.70139,0.000566875,0.000566875,0.000566875
72,674.424,1.33421,1.24016,1.46142,0.64139,0.44643,0.40274,0.22371,2.41482,2.95538,2.49869,0.000560687,0.000560687,0.000560687
73,683.07,1.35733,1.28163,1.46945,0.64903,0.38211,0.39303,0.22542,2.55828,2.80862,2.73394,0.0005545,0.0005545,0.0005545
74,692.172,1.37218,1.30049,1.50137,0.54829,0.46814,0.36462,0.19846,2.4043,2.97829,2.59178,0.000548312,0.000548312,0.000548312
75,700.971,1.30658,1.23292,1.44573,0.55989,0.3883,0.37509,0.20981,2.34385,2.80338,2.56279,0.000542125,0.000542125,0.000542125
76,709.539,1.34301,1.25721,1.46513,0.6405,0.40555,0.38632,0.20776,2.58516,2.72036,2.71038,0.000535937,0.000535937,0.000535937
77,719.384,1.34027,1.23736,1.47539,0.37585,0.43161,0.37881,0.22044,2.59031,3.02087,2.73468,0.00052975,0.00052975,0.00052975
78,728.187,1.31214,1.24023,1.43001,0.35668,0.45835,0.3639,0.21143,2.56827,2.96521,2.76992,0.000523563,0.000523563,0.000523563
79,737.248,1.31383,1.21724,1.44898,0.66393,0.38239,0.37138,0.18493,2.71526,2.96584,2.93627,0.000517375,0.000517375,0.000517375
80,746.363,1.32568,1.19817,1.46215,0.64386,0.39062,0.38963,0.19815,2.62192,2.74899,2.70257,0.000511188,0.000511188,0.000511188
81,755.391,1.23901,1.15408,1.37074,0.64711,0.38405,0.3844,0.2096,2.59731,2.95765,2.69259,0.000505,0.000505,0.000505
82,764.496,1.27949,1.17476,1.4358,0.45457,0.4668,0.40262,0.22768,2.55338,2.71964,2.65387,0.000498813,0.000498813,0.000498813
83,773.466,1.29137,1.14448,1.40926,0.61371,0.41826,0.38009,0.2053,2.64567,2.79322,2.77829,0.000492625,0.000492625,0.000492625
84,782.293,1.25096,1.09886,1.39535,0.63345,0.4561,0.41504,0.23326,2.59583,2.96257,2.74121,0.000486437,0.000486437,0.000486437
85,791.178,1.25683,1.14561,1.43819,0.64235,0.43221,0.4033,0.23812,2.59693,3.06075,2.73657,0.00048025,0.00048025,0.00048025
86,799.818,1.2665,1.16489,1.40671,0.44416,0.46638,0.43005,0.24017,2.60061,2.9402,2.69758,0.000474062,0.000474062,0.000474062
87,808.874,1.22376,1.0899,1.35842,0.52069,0.45439,0.41967,0.2387,2.49667,2.91934,2.67692,0.000467875,0.000467875,0.000467875
88,817.705,1.20777,1.1036,1.36108,0.66818,0.39256,0.38939,0.22842,2.59522,2.7704,2.75708,0.000461688,0.000461688,0.000461688
89,826.411,1.23505,1.06146,1.36793,0.67108,0.38973,0.40464,0.22902,2.55872,2.76247,2.7805,0.0004555,0.0004555,0.0004555
90,835.775,1.23825,1.11478,1.38015,0.40517,0.44056,0.38997,0.21614,2.62417,2.86773,2.94599,0.000449313,0.000449313,0.000449313
91,844.598,1.15687,1.05425,1.33154,0.47066,0.40496,0.40566,0.22529,2.67348,3.35439,2.83278,0.000443125,0.000443125,0.000443125
92,853.959,1.1884,1.05782,1.36556,0.4715,0.47402,0.41243,0.21008,2.69527,2.90797,2.94312,0.000436938,0.000436938,0.000436938
